date,predict
2021-04-05,0.706
2021-04-06,1.154
2021-04-07,1.034
2021-04-08,0.913
2021-04-09,0.795
2021-04-10,0.625
2021-04-11,1.333
2021-04-12,1.194
2021-04-13,1.062
2021-04-14,1.037
2021-04-15,1.136
2021-04-16,1.036
2021-04-17,0.714
2021-04-18,1.2
2021-04-19,1.032
2021-04-20,1.031
2021-04-21,0.941
2021-04-22,1.036
2021-04-23,0.962
2021-04-24,1.0
2021-04-25,0.5
2021-04-26,1.111
2021-04-27,1.067
2021-04-28,1.382
2021-04-29,1.214
2021-04-30,1.258
2021-05-01,1.0
2021-05-02,1.0
2021-05-03,1.25
2021-05-04,1.111
2021-05-05,1.118
2021-05-06,1.227
2021-05-07,1.147
2021-05-08,1.25
2021-05-09,1.143
2021-05-10,1.286
2021-05-11,1.088
2021-05-12,0.946
2021-05-13,1.234
2021-05-14,1.0
2021-05-15,1.222
2021-05-16,1.0
2021-05-17,1.207
2021-05-18,1.133
2021-05-19,0.793
2021-05-20,1.095
2021-05-21,1.133
2021-05-22,1.167
2021-05-23,1.333
2021-05-24,1.067
2021-05-25,0.97
2021-05-26,1.25
2021-05-27,1.022
2021-05-28,0.731
2021-05-29,1.0
2021-05-30,1.2
2021-05-31,0.875
2021-06-01,1.023
2021-06-02,1.0
2021-06-03,0.958
2021-06-04,1.0
2021-06-05,1.0
2021-06-06,1.333
2021-06-07,0.826
2021-06-08,1.0
2021-06-09,1.05
2021-06-10,0.889
2021-06-11,1.037
2021-06-12,1.143
2021-06-13,1.0
2021-06-14,1.148
2021-06-15,1.103
2021-06-16,0.971
2021-06-17,1.025
2021-06-18,1.125
2021-06-19,1.0
2021-06-20,1.091
2021-06-21,1.114
2021-06-22,0.829
2021-06-23,1.0
2021-06-24,1.079
2021-06-25,1.158
2021-06-26,1.0
2021-06-27,1.0
2021-06-28,0.879
2021-06-29,1.128
2021-06-30,1.065
2021-07-01,1.115
2021-07-02,1.0
2021-07-03,0.727
2021-07-04,0.833
2021-07-05,1.0
2021-07-06,1.156
2021-07-07,1.032
2021-07-08,1.121
2021-07-09,1.167
2021-07-10,1.222
2021-07-11,1.0
2021-07-12,0.955
2021-07-13,1.318
2021-07-14,1.0
2021-07-15,1.036
2021-07-16,0.962
2021-07-17,1.333
2021-07-18,1.0
2021-07-19,1.0
2021-07-20,1.0
2021-07-21,0.926
2021-07-22,1.111
2021-07-23,0.833
2021-07-24,1.2
2021-07-25,0.8
2021-07-26,1.304
2021-07-27,1.2
2021-07-28,1.0
2021-07-29,0.979
2021-07-30,0.771
2021-07-31,0.75
2021-08-01,1.0
2021-08-02,1.031
2021-08-03,0.935
2021-08-04,1.073
2021-08-05,0.935
2021-08-06,1.107
2021-08-07,1.111
2021-08-08,0.8
2021-08-09,0.844
2021-08-10,1.059
2021-08-11,1.07
2021-08-12,1.071
2021-08-13,0.958
2021-08-14,1.0
2021-08-15,1.5
2021-08-16,0.962
2021-08-17,1.04
2021-08-18,1.261
2021-08-19,1.062
2021-08-20,0.857
2021-08-21,1.0
2021-08-22,1.0
2021-08-23,1.227
2021-08-24,1.091
2021-08-25,1.0
2021-08-26,1.095
2021-08-27,0.941
2021-08-28,0.667
2021-08-29,0.5
2021-08-30,1.0
2021-08-31,1.172
2021-09-01,0.976
2021-09-02,0.953
2021-09-03,1.045
2021-09-04,1.571
2021-09-05,1.0
2021-09-06,1.214
2021-09-07,1.08
2021-09-08,1.075
2021-09-09,1.14
2021-09-10,0.885
2021-09-11,0.333
2021-09-12,0.5
2021-09-13,1.481
2021-09-14,1.239
2021-09-15,1.179
2021-09-16,1.125
2021-09-17,1.13
2021-09-18,1.6
2021-09-19,0.75
2021-09-20,1.053
2021-09-21,1.119
2021-09-22,1.036
2021-09-23,1.036
2021-09-24,0.952
2021-09-25,1.25
2021-09-26,1.0
2021-09-27,1.258
2021-09-28,1.055
2021-09-29,1.0
2021-09-30,0.844
2021-10-01,1.217
2021-10-02,1.0
2021-10-03,0.8
2021-10-04,1.214
2021-10-05,1.115
2021-10-06,0.963
2021-10-07,1.158
2021-10-08,0.842
2021-10-09,0.667
2021-10-10,1.333
2021-10-11,1.148
2021-10-12,1.0
2021-10-13,0.931
2021-10-14,1.129
2021-10-15,0.95
2021-10-16,1.0
2021-10-17,1.0
2021-10-18,1.107
2021-10-19,1.0
2021-10-20,1.179
2021-10-21,0.96
2021-10-22,1.125
2021-10-23,1.5
2021-10-24,1.0
2021-10-25,0.969
2021-10-26,1.06
2021-10-27,0.966
2021-10-28,1.026
2021-10-29,1.167
2021-10-30,1.0
2021-10-31,1.2
2021-11-01,1.207
2021-11-02,0.938
2021-11-03,1.034
2021-11-04,1.032
2021-11-05,1.0
2021-11-06,1.143
2021-11-07,1.143
2021-11-08,1.241
2021-11-09,1.148
2021-11-10,1.167
2021-11-11,1.1
2021-11-12,1.091
2021-11-13,1.167
2021-11-14,0.9
2021-11-15,1.071
2021-11-16,1.0
2021-11-17,1.0
2021-11-18,1.018
2021-11-19,1.184
2021-11-20,1.0
2021-11-21,0.8
2021-11-22,1.032
2021-11-23,0.931
2021-11-24,1.0
2021-11-25,1.167
2021-11-26,0.75
2021-11-27,1.0
2021-11-28,1.0
2021-11-29,1.182
2021-11-30,1.093
2021-12-01,1.184
2021-12-02,1.077
2021-12-03,1.0
2021-12-04,1.0
2021-12-05,0.833
2021-12-06,1.261
2021-12-07,0.829
2021-12-08,0.911
2021-12-09,0.917
2021-12-10,0.9
2021-12-11,0.667
2021-12-12,0.267
2021-12-13,0.783
2021-12-14,0.944
2021-12-15,0.973
2021-12-16,0.939
2021-12-17,0.774
2021-12-18,1.0
2021-12-19,0.857
2021-12-20,1.08
2021-12-21,1.125
2021-12-22,0.852
2021-12-23,1.136
2021-12-24,1.1
2021-12-25,1.0
2021-12-26,1.5
2021-12-27,1.0
2021-12-28,0.667
2021-12-29,1.067
2021-12-30,0.714
2021-12-31,1.0
2022-01-01,1.0
2022-01-02,1.25
2022-01-03,1.077
2022-01-04,0.957
2022-01-05,1.292
2022-01-06,1.103
2022-01-07,0.826
2022-01-08,0.5
2022-01-09,0.833
2022-01-10,1.0
2022-01-11,0.9
2022-01-12,1.5
2022-01-13,1.059
2022-01-14,1.357
2022-01-15,0.75
2022-01-16,1.091
2022-01-17,0.889
2022-01-18,0.909
2022-01-19,0.867
2022-01-20,1.0
2022-01-21,1.103
2022-01-22,1.0
2022-01-23,1.2
2022-01-24,0.963
2022-01-25,1.054
2022-01-26,1.0
2022-01-27,0.739
2022-01-28,0.828
2022-01-29,1.5
2022-01-30,0.8
2022-01-31,1.0
2022-02-01,1.129
2022-02-02,1.0
2022-02-03,1.292
2022-02-04,1.075
2022-02-05,1.091
2022-02-06,0.667
2022-02-07,1.324
2022-02-08,1.119
2022-02-09,1.194
2022-02-10,1.129
2022-02-11,1.083
2022-02-12,0.75
2022-02-13,0.75
2022-02-14,1.12
2022-02-15,1.056
2022-02-16,1.074
2022-02-17,1.106
2022-02-18,1.077
2022-02-19,1.4
2022-02-20,0.75
2022-02-21,1.0
2022-02-22,0.913
2022-02-23,0.964
2022-02-24,1.15
2022-02-25,1.091
2022-02-26,1.0
2022-02-27,1.167
2022-02-28,1.15
2022-03-01,1.111
2022-03-02,0.894
2022-03-03,1.115
2022-03-04,1.208
2022-03-05,1.0
2022-03-06,1.2
2022-03-07,0.917
2022-03-08,0.75
2022-03-09,0.958
2022-03-10,1.167
2022-03-11,1.036
2022-03-12,1.0
2022-03-13,1.167
2022-03-14,0.833
2022-03-15,1.0
2022-03-16,1.038
2022-03-17,1.125
2022-03-18,1.037
2022-03-19,1.4
2022-03-20,0.889
2022-03-21,0.968
2022-03-22,0.906
2022-03-23,1.08
2022-03-24,1.0
2022-03-25,1.0
2022-03-26,0.4
2022-03-27,0.5
2022-03-28,1.0
2022-03-29,1.114
2022-03-30,1.0
2022-03-31,1.138
2022-04-01,0.907
2022-04-02,1.0
2022-04-03,1.0
2022-04-04,1.089
2022-04-05,1.324
2022-04-06,1.188
2022-04-07,0.902
2022-04-08,1.158
2022-04-09,1.0
2022-04-10,0.714
2022-04-11,1.118
2022-04-12,0.656
2022-04-13,1.082
2022-04-14,1.071
2022-04-15,1.143
2022-04-16,1.0
2022-04-17,1.0
2022-04-18,0.92
2022-04-19,0.857
2022-04-20,1.167
2022-04-21,1.341
2022-04-22,0.964
2022-04-23,1.571
2022-04-24,1.111
2022-04-25,1.0
2022-04-26,0.889
2022-04-27,0.976
2022-04-28,0.592
2022-04-29,0.725
2022-04-30,1.0
2022-05-01,1.1
2022-05-02,1.027
2022-05-03,1.191
2022-05-04,1.08
2022-05-05,0.857
2022-05-06,1.156
2022-05-07,1.0
2022-05-08,1.0
2022-05-09,1.0
2022-05-10,1.083
2022-05-11,1.258
2022-05-12,1.214
2022-05-13,1.083
2022-05-14,0.889
2022-05-15,1.0
2022-05-16,0.75
2022-05-17,1.08
2022-05-18,1.022
2022-05-19,1.032
2022-05-20,1.0
2022-05-21,0.667
2022-05-22,1.0
2022-05-23,1.129
2022-05-24,0.811
2022-05-25,1.071
2022-05-26,1.115
2022-05-27,0.839
2022-05-28,1.0
2022-05-29,1.2
2022-05-30,0.923
2022-05-31,1.05
2022-06-01,0.97
2022-06-02,1.0
2022-06-03,1.026
2022-06-04,0.75
2022-06-05,1.0
2022-06-06,1.125
2022-06-07,0.81
2022-06-08,0.864
2022-06-09,1.0
2022-06-10,0.875
2022-06-11,0.857
2022-06-12,0.875
2022-06-13,0.963
2022-06-14,0.812
2022-06-15,1.111
2022-06-16,0.919
2022-06-17,0.861
2022-06-18,0.429
2022-06-19,0.667
2022-06-20,1.053
2022-06-21,0.976
2022-06-22,0.951
2022-06-23,1.105
2022-06-24,1.077
2022-06-25,1.0
2022-06-26,0.8
2022-06-27,1.0
2022-06-28,1.167
2022-06-29,1.033
2022-06-30,1.0
2022-07-01,1.207
2022-07-02,0.8
2022-07-03,0.889
2022-07-04,1.154
2022-07-05,0.923
2022-07-06,1.155
2022-07-07,0.946
2022-07-08,1.067
2022-07-09,1.091
2022-07-10,1.0
2022-07-11,1.074
2022-07-12,1.0
2022-07-13,1.047
2022-07-14,1.068
2022-07-15,1.037
2022-07-16,1.0
2022-07-17,1.0
2022-07-18,0.893
2022-07-19,0.972
2022-07-20,1.077
2022-07-21,1.105
2022-07-22,1.154
2022-07-23,0.5
2022-07-24,0.0
2022-07-25,1.158
2022-07-26,1.275
2022-07-27,0.774
2022-07-28,1.0
2022-07-29,0.917
2022-07-30,1.0
2022-07-31,0.667
2022-08-01,1.105
2022-08-02,1.143
2022-08-03,1.158
2022-08-04,1.083
2022-08-05,1.227
2022-08-06,1.0
2022-08-07,0.4
2022-08-08,0.929
2022-08-09,0.903
2022-08-10,0.846
2022-08-11,0.943
2022-08-12,0.964
2022-08-13,0.75
2022-08-14,0.8
2022-08-15,1.107
2022-08-16,1.0
2022-08-17,1.065
2022-08-18,1.0
2022-08-19,0.806
2022-08-20,1.0
2022-08-21,0.667
2022-08-22,1.08
2022-08-23,1.071
2022-08-24,1.022
2022-08-25,1.213
2022-08-26,0.931
2022-08-27,0.75
2022-08-28,0.75
2022-08-29,1.04
2022-08-30,0.906
2022-08-31,0.911
2022-09-01,0.909
2022-09-02,0.862
2022-09-03,0.714
2022-09-04,1.111
2022-09-05,0.625
2022-09-06,0.962
2022-09-07,0.857
2022-09-08,1.115
2022-09-09,1.05
2022-09-10,0.571
2022-09-11,1.0
2022-09-12,1.12
2022-09-13,1.093
2022-09-14,0.936
2022-09-15,1.074
2022-09-16,0.96
