date,predict
2021-04-05,1.1
2021-04-06,0.591
2021-04-07,0.972
2021-04-08,1.0
2021-04-09,1.0
2021-04-10,0.8
2021-04-11,0.857
2021-04-12,0.862
2021-04-13,0.95
2021-04-14,0.846
2021-04-15,1.175
2021-04-16,1.16
2021-04-17,0.75
2021-04-18,1.167
2021-04-19,1.0
2021-04-20,0.955
2021-04-21,0.963
2021-04-22,1.0
2021-04-23,0.926
2021-04-24,1.077
2021-04-25,1.143
2021-04-26,0.967
2021-04-27,1.358
2021-04-28,1.143
2021-04-29,1.118
2021-04-30,0.889
2021-05-01,1.0
2021-05-02,0.727
2021-05-03,0.95
2021-05-04,1.0
2021-05-05,0.865
2021-05-06,0.935
2021-05-07,0.875
2021-05-08,1.0
2021-05-09,1.4
2021-05-10,0.972
2021-05-11,0.846
2021-05-12,1.034
2021-05-13,1.04
2021-05-14,0.917
2021-05-15,1.091
2021-05-16,0.875
2021-05-17,0.921
2021-05-18,0.882
2021-05-19,0.811
2021-05-20,0.778
2021-05-21,1.026
2021-05-22,0.7
2021-05-23,1.0
2021-05-24,1.125
2021-05-25,1.0
2021-05-26,0.97
2021-05-27,0.96
2021-05-28,0.852
2021-05-29,0.833
2021-05-30,0.833
2021-05-31,1.0
2021-06-01,0.774
2021-06-02,1.071
2021-06-03,0.75
2021-06-04,0.875
2021-06-05,1.4
2021-06-06,0.8
2021-06-07,1.026
2021-06-08,0.786
2021-06-09,1.048
2021-06-10,1.0
2021-06-11,0.733
2021-06-12,0.667
2021-06-13,0.857
2021-06-14,1.16
2021-06-15,1.091
2021-06-16,0.976
2021-06-17,1.114
2021-06-18,0.909
2021-06-19,1.2
2021-06-20,0.889
2021-06-21,0.875
2021-06-22,1.115
2021-06-23,1.0
2021-06-24,0.92
2021-06-25,0.684
2021-06-26,1.0
2021-06-27,1.0
2021-06-28,1.118
2021-06-29,0.947
2021-06-30,1.065
2021-07-01,1.094
2021-07-02,0.947
2021-07-03,0.625
2021-07-04,1.143
2021-07-05,0.667
2021-07-06,1.043
2021-07-07,0.862
2021-07-08,0.97
2021-07-09,1.05
2021-07-10,0.75
2021-07-11,1.25
2021-07-12,1.0
2021-07-13,0.839
2021-07-14,0.914
2021-07-15,1.121
2021-07-16,1.24
2021-07-17,1.0
2021-07-18,0.889
2021-07-19,1.053
2021-07-20,0.958
2021-07-21,0.7
2021-07-22,1.027
2021-07-23,0.821
2021-07-24,1.286
2021-07-25,1.0
2021-07-26,1.032
2021-07-27,1.034
2021-07-28,0.889
2021-07-29,0.933
2021-07-30,1.0
2021-07-31,0.778
2021-08-01,0.846
2021-08-02,0.935
2021-08-03,1.0
2021-08-04,1.03
2021-08-05,0.906
2021-08-06,0.727
2021-08-07,1.3
2021-08-08,1.0
2021-08-09,0.958
2021-08-10,0.92
2021-08-11,0.692
2021-08-12,1.0
2021-08-13,1.0
2021-08-14,0.75
2021-08-15,0.9
2021-08-16,0.724
2021-08-17,0.882
2021-08-18,1.0
2021-08-19,1.194
2021-08-20,1.0
2021-08-21,1.0
2021-08-22,0.818
2021-08-23,0.957
2021-08-24,0.897
2021-08-25,1.0
2021-08-26,0.941
2021-08-27,0.8
2021-08-28,1.0
2021-08-29,0.5
2021-08-30,1.0
2021-08-31,0.805
2021-09-01,1.056
2021-09-02,0.97
2021-09-03,0.824
2021-09-04,0.667
2021-09-05,1.0
2021-09-06,1.118
2021-09-07,1.04
2021-09-08,0.935
2021-09-09,0.929
2021-09-10,0.864
2021-09-11,1.0
2021-09-12,0.625
2021-09-13,0.875
2021-09-14,1.048
2021-09-15,0.8
2021-09-16,0.8
2021-09-17,1.12
2021-09-18,1.0
2021-09-19,0.8
2021-09-20,0.95
2021-09-21,0.914
2021-09-22,0.808
2021-09-23,0.9
2021-09-24,0.793
2021-09-25,1.0
2021-09-26,1.0
2021-09-27,1.0
2021-09-28,0.968
2021-09-29,1.0
2021-09-30,0.949
2021-10-01,1.148
2021-10-02,0.8
2021-10-03,1.167
2021-10-04,0.778
2021-10-05,0.933
2021-10-06,1.28
2021-10-07,0.88
2021-10-08,0.846
2021-10-09,1.0
2021-10-10,1.333
2021-10-11,0.952
2021-10-12,0.857
2021-10-13,1.091
2021-10-14,1.033
2021-10-15,1.485
2021-10-16,1.0
2021-10-17,1.333
2021-10-18,0.828
2021-10-19,1.148
2021-10-20,0.941
2021-10-21,1.087
2021-10-22,1.083
2021-10-23,0.857
2021-10-24,1.333
2021-10-25,0.938
2021-10-26,0.951
2021-10-27,0.927
2021-10-28,0.968
2021-10-29,0.857
2021-10-30,0.857
2021-10-31,0.727
2021-11-01,1.226
2021-11-02,1.068
2021-11-03,1.0
2021-11-04,0.857
2021-11-05,1.421
2021-11-06,0.615
2021-11-07,1.0
2021-11-08,1.0
2021-11-09,1.088
2021-11-10,1.091
2021-11-11,1.13
2021-11-12,0.81
2021-11-13,1.0
2021-11-14,1.0
2021-11-15,0.912
2021-11-16,0.857
2021-11-17,1.222
2021-11-18,1.263
2021-11-19,0.875
2021-11-20,0.9
2021-11-21,0.429
2021-11-22,1.129
2021-11-23,1.294
2021-11-24,1.217
2021-11-25,1.0
2021-11-26,0.947
2021-11-27,1.1
2021-11-28,0.8
2021-11-29,0.976
2021-11-30,0.806
2021-12-01,0.897
2021-12-02,0.974
2021-12-03,1.13
2021-12-04,1.167
2021-12-05,1.0
2021-12-06,1.238
2021-12-07,1.136
2021-12-08,0.872
2021-12-09,1.12
2021-12-10,0.697
2021-12-11,1.143
2021-12-12,0.5
2021-12-13,0.968
2021-12-14,1.0
2021-12-15,0.917
2021-12-16,0.907
2021-12-17,1.074
2021-12-18,0.9
2021-12-19,1.0
2021-12-20,0.963
2021-12-21,1.15
2021-12-22,1.061
2021-12-23,1.0
2021-12-24,0.889
2021-12-25,1.25
2021-12-26,1.429
2021-12-27,0.684
2021-12-28,1.0
2021-12-29,1.067
2021-12-30,0.917
2021-12-31,1.231
2022-01-01,0.867
2022-01-02,1.143
2022-01-03,0.941
2022-01-04,1.0
2022-01-05,0.97
2022-01-06,1.0
2022-01-07,1.143
2022-01-08,0.5
2022-01-09,0.75
2022-01-10,0.857
2022-01-11,1.0
2022-01-12,1.04
2022-01-13,1.054
2022-01-14,0.818
2022-01-15,1.286
2022-01-16,0.5
