date,predict
2021-04-05,1.2
2021-04-06,1.571
2021-04-07,1.0
2021-04-08,0.8
2021-04-09,1.0
2021-04-10,1.333
2021-04-11,1.0
2021-04-12,1.3
2021-04-13,1.0
2021-04-14,1.0
2021-04-15,1.077
2021-04-16,0.909
2021-04-17,1.0
2021-04-18,2.0
2021-04-19,0.909
2021-04-20,1.2
2021-04-21,1.25
2021-04-22,1.0
2021-04-23,1.25
2021-04-24,0.333
2021-04-25,1.0
2021-04-26,0.875
2021-04-27,0.8
2021-04-28,0.875
2021-04-29,1.143
2021-04-30,1.2
2021-05-01,1.167
2021-05-02,1.333
2021-05-03,1.0
2021-05-04,1.091
2021-05-05,0.857
2021-05-06,1.0
2021-05-07,1.0
2021-05-08,1.333
2021-05-09,1.333
2021-05-10,0.833
2021-05-11,1.0
2021-05-12,0.833
2021-05-13,1.0
2021-05-14,1.5
2021-05-15,0.8
2021-05-16,1.0
2021-05-17,1.0
2021-05-18,0.857
2021-05-19,1.0
2021-05-20,1.286
2021-05-21,0.875
2021-05-22,0.5
2021-05-23,0.5
2021-05-24,0.889
2021-05-25,1.2
2021-05-26,0.875
2021-05-27,1.0
2021-05-28,0.75
2021-05-29,1.0
2021-05-30,1.5
2021-05-31,0.667
2021-06-01,0.667
2021-06-02,0.714
2021-06-03,1.0
2021-06-04,1.0
2021-06-05,1.333
2021-06-06,1.25
2021-06-07,1.333
2021-06-08,1.5
2021-06-09,0.562
2021-06-10,1.222
2021-06-11,1.0
2021-06-12,1.2
2021-06-13,1.0
2021-06-14,1.0
2021-06-15,1.2
2021-06-16,1.0
2021-06-17,0.857
2021-06-18,0.8
2021-06-19,0.818
2021-06-20,1.0
2021-06-21,1.235
2021-06-22,1.235
2021-06-23,1.235
2021-06-24,0.857
2021-06-25,1.167
2021-06-26,1.0
2021-06-27,1.0
2021-06-28,1.25
2021-06-29,0.875
2021-06-30,1.111
2021-07-01,1.273
2021-07-02,0.667
2021-07-03,1.0
2021-07-04,1.0
2021-07-05,1.0
